T,D,Y_AR,Y_CO,Y_CO2,Y_H,Y_H2,Y_H2O,Y_H2O2,Y_HBR,Y_HCL,Y_HNO3,Y_HO2,Y_HO2NO2,Y_HONO,Y_HSO3,Y_N2,Y_N2O5,Y_NA,Y_NO,Y_NO2,Y_NO3,Y_O,Y_O1D,Y_O2,Y_O3,Y_OH,Y_SA,Y_SO2,Y_SO3,t,mass,volume
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4407.28146,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4459.13183,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4510.9822,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4562.83257,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4614.68294,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4666.53331,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4718.38368,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4770.23405,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4822.08442,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4873.93479,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4925.78516,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,4977.63553,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5029.4859,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5081.33627,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5133.18664,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5185.03701,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5236.88738,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5288.73775,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5340.58812,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5392.43849,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5444.28886,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5496.13923,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5547.9896,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5599.83997,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5651.69034,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5703.54071,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5755.39108,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5807.24145,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5859.09182,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5910.94219,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,5962.79256,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6014.64293,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6066.4933,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6118.34367,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6170.19404,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6222.04441,11749.3225,10000
298,1.17493225,0,3.30826755e-06,0,0,0,0.0255905499,0,0,0,0,0,0,0,0,0.772633824,0,0,0,0,0,0,0,0.201770617,1.70078732e-06,0,0,0,0,6273.89478,11749.3225,10000
